company,date,event,location,url,venue
Microfocus,15 Jan 2020,FutureCon Atlanta Cybersecurity Conference,"Atlanta, GA",https://futureconevents.com/events/atlanta-ga-2020/, 
Microfocus,24 Jan 2020,ESM Best Practice Workshop - Leeds,"Leeds, United Kingdom",https://events.microfocus.com/MaximisingESMCapabilitiesLeeds, 
Microfocus,28 Jan 2020,DevDay Atlanta,"Atlanta, GA",https://events.microfocus.com/devdayatlanta/home?ref=MicroFocusEvents, 
Microfocus,30 Jan 2020,DevDay Chicago,"Rosemont, IL",https://events.microfocus.com/devdaychicago/home?ref=Micro+Focus+Events, 
Microfocus,30 Jan 2020,ESM Best Practice Workshop - London,"London, United Kingdom",https://events.microfocus.com/MaximisingESMCapabilitiesLondon, 
Microfocus,30 Jan 2020,Identifying RPA Use Cases for Swift Time to Value,Webinar,https://www.brighttalk.com/webcast/6633/381993, 
Microfocus,11 Feb 2020,DevDay Columbus,"Columbus, OH",https://events.microfocus.com/devdaycolumbus/home?ref=MicroFocusEvents, 
Microfocus,23-28 Feb 2020,SHARE Forth Worth,"Fort Worth, Texas",https://event.share.org/home, 
